id,unique_part_id,part_name,make,model,vehicle_type,part_category,size,position_1,position_2,height_cm,length_cm,width_cm,weight_kg,hsn_code,description,shipping_information
,FACAC01BM06,AB Compressor,BMW,5-Series,4W,Air Conditioning,,,,14,19,14,6.2,84149040,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACAL01BM06,Condensor,BMW,5-Series,4W,Air Conditioning,,,,65,46,46,4.6,84041000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACAL03BM06,Cooling Coil,BMW,5-Series,4W,Air Conditioning,,,,61,52,98,1.2,84181010,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACAL04BM06,Radiator,BMW,5-Series,4W,Engine and Transmission,,,,65,46,46,6.2,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACAL05BM06,Heater core,BMW,5-Series,4W,Air Conditioning,,,,61,52,98,3.2,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACAT01BM06,Alternator,BMW,5-Series,4W,Electrical,,,,14,13,13,5.3,85112010,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR01BM06,Door,BMW,5-Series,4W,Body Part,,Left,Front,18,112,123,34.2,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR02BM06,Door,BMW,5-Series,4W,Body Part,,Right,Front,18,112,123,34.2,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR03BM06,Door,BMW,5-Series,4W,Body Part,,Left,Rear,20,112,101,28.8,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR04BM06,Door,BMW,5-Series,4W,Body Part,,Right,Rear,20,112,101,28.8,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR05BM06,Bonnet / Hood,BMW,5-Series,4W,Body Part,,,,8,147,166,12.9,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACDR06BM06,Boot / Trunk,BMW,5-Series,4W,Body Part,,,,51,147,47,19.2,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEL01BM06,AC Blower Fan,BMW,5-Series,4W,Air Conditioning,,,,61,52,98,2.2,84149040,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEL03BM06,Starter,BMW,5-Series,4W,Electrical,,,,12,11,11,3.9,85112010,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEL05BM06,Radiator fan,BMW,5-Series,4W,Engine and Transmission,,,,63,50,50,2.6,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEW04BM06,AC Control Panel,BMW,5-Series,4W,Air Conditioning,,,,29,15,14,1.1,87087000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEW08BM06,Speedometer,BMW,5-Series,4W,Cabin Interior,,,,32,17,14,0.9,85112010,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACEW09BM06,Horn set (Pair),BMW,5-Series,4W,Electrical,,,,9,9,4,0.4,85112010,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACIN01BM06,Driver Seat,BMW,5-Series,4W,Seat,,,,48,124,56,26.7,94012000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
,FACIN02BM06,Passenger Seat,BMW,5-Series,4W,Seat,,,,48,124,56,26.7,94012000,"The product is a pre-owned or pre-used spare part collected form CERO Recycling centres. It has passed quality inspection at CERO. The pictures shown of the product are the actual images of the product.
The product comes with CERO Spares Guarantee. If the product has any genuine fitment issues / defects please inform us within 7 days from date of delivery and we will replace the same else refund the order. ",The product will be shipped via logistics partners appointed by CERO. We aim for quick dispatch and delivery. 
